7,1,807,2018-08-27 10:46:21,5
8,1,200,2018-09-21 17:07:53,14
9,3,615,2018-08-13 09:30:52,12
13,3,508,2018-08-20 16:12:08,9
19,8,492,2018-08-28 07:55:40,10
20,8,749,2018-09-13 13:47:24,12
21,11,60,2018-09-16 03:03:20,11
22,11,959,2018-09-12 23:38:54,4
23,11,426,2018-09-08 15:58:02,6
24,11,351,2018-09-27 08:17:09,13
25,14,903,2018-09-29 15:37:23,13
26,14,250,2018-09-30 08:01:40,5
27,14,968,2018-09-27 06:16:20,10
28,16,796,2018-09-27 19:16:20,9
29,19,232,2018-09-30 06:29:55,7
30,19,246,2018-09-30 08:23:25,9
31,19,106,2018-09-30 11:42:42,8
32,20,823,2018-09-30 06:47:21,10
39,20,750,2018-09-26 21:21:15,5
40,20,404,2018-09-28 06:51:35,5
41,21,364,2018-09-24 11:21:14,5
42,21,485,2018-09-29 15:58:54,1
43,21,511,2018-09-30 01:55:05,14
44,21,845,2018-09-24 12:24:48,11
45,22,554,2018-08-15 23:48:59,13
52,22,706,2018-09-25 02:00:38,12
53,26,790,2018-09-23 12:31:17,7
54,26,834,2018-09-01 20:08:04,6
55,26,316,2018-09-27 20:15:39,3
56,26,749,2018-08-30 22:21:27,15
57,26,553,2018-09-10 02:43:37,13
58,26,916,2018-09-24 03:22:42,6
59,28,842,2018-08-28 00:49:58,5
60,28,920,2018-09-19 17:54:01,5
67,30,394,2018-09-28 21:54:24,15
68,35,1,2018-09-09 10:28:17,2
69,35,914,2018-09-08 10:58:58,5
77,35,259,2018-08-28 09:23:04,4
82,37,23,2018-09-16 05:06:52,2
91,38,887,2018-09-26 14:53:12,5
92,38,781,2018-09-30 11:44:47,4
93,40,367,2018-09-25 11:53:38,3
100,40,972,2018-09-26 17:44:06,3
101,40,185,2018-09-24 15:59:43,1
102,44,479,2018-09-23 13:12:06,2
107,52,967,2018-09-23 21:32:07,3
108,52,960,2018-09-16 01:50:27,3
109,53,6,2018-09-06 21:15:56,15
110,53,967,2018-09-21 15:32:09,1
111,53,851,2018-09-29 02:06:05,8
112,56,428,2018-09-22 01:53:34,15
113,56,503,2018-09-27 23:06:53,4
114,58,554,2018-09-30 13:38:29,6
123,59,147,2018-08-30 15:38:03,5
124,59,545,2018-09-24 03:56:05,1
125,59,182,2018-09-13 23:46:20,14
126,59,769,2018-08-17 02:40:46,13
127,60,921,2018-09-15 16:08:44,1
128,60,604,2018-08-24 18:09:43,11
129,60,484,2018-09-28 23:21:43,9
130,60,716,2018-08-19 08:56:53,3
131,64,251,2018-09-27 16:31:39,13
132,64,749,2018-09-20 02:44:19,8
133,64,160,2018-09-17 03:34:10,4
134,64,689,2018-09-29 10:50:48,10
135,66,83,2018-08-15 09:57:12,11
136,66,390,2018-09-29 19:54:58,7
137,67,951,2018-09-15 16:32:59,11
138,67,4,2018-09-08 02:38:25,3
139,68,156,2018-09-20 19:34:41,5
140,68,562,2018-09-24 19:57:52,3
141,68,879,2018-09-26 04:13:42,8
149,69,602,2018-09-04 13:05:28,5
150,69,875,2018-09-17 00:47:11,2
151,70,499,2018-09-07 06:46:55,8
152,70,983,2018-09-21 02:48:28,10
153,70,517,2018-09-27 00:19:08,13
154,70,420,2018-09-01 22:30:23,15
163,73,142,2018-09-22 08:54:24,12
164,73,75,2018-09-26 10:51:28,1
165,74,197,2018-08-25 00:05:43,15
166,74,277,2018-08-21 16:46:05,13
167,74,669,2018-09-07 07:47:24,4
168,74,942,2018-08-28 21:39:37,10
169,76,291,2018-09-30 09:38:42,3
170,76,218,2018-09-17 22:31:53,13
171,76,644,2018-09-25 21:50:56,6
172,77,830,2018-09-11 17:35:02,2
173,77,140,2018-09-15 18:13:27,9
174,77,167,2018-09-24 20:47:28,3
175,80,907,2018-09-26 06:02:17,15
180,81,705,2018-09-11 06:42:08,1
181,81,369,2018-09-19 11:20:47,2
189,82,984,2018-09-30 05:07:59,2
190,82,354,2018-09-29 14:04:21,4
191,82,929,2018-09-29 11:55:46,5
192,84,112,2018-09-18 04:26:51,13
199,84,496,2018-09-04 04:36:24,10
200,84,545,2018-09-21 23:45:06,2
201,85,728,2018-09-19 20:48:30,10
210,85,821,2018-09-16 08:14:59,13
211,87,188,2018-09-21 05:04:04,7
212,87,903,2018-09-23 10:13:09,8
217,89,184,2018-09-27 04:40:17,12
218,89,299,2018-09-21 20:36:46,11
219,89,651,2018-09-16 14:04:06,12
220,90,308,2018-09-25 11:41:06,9
221,90,860,2018-08-25 03:42:46,3
224,91,297,2018-09-26 03:40:31,5
225,91,613,2018-09-30 07:22:15,15
226,91,66,2018-09-19 01:57:09,3
235,92,346,2018-09-15 14:49:13,7
236,93,358,2018-09-26 19:48:23,3
237,93,1000,2018-09-24 11:02:55,4
244,93,370,2018-09-25 18:28:33,3
245,94,47,2018-08-19 06:19:36,13
246,94,243,2018-09-15 05:53:31,9
247,94,289,2018-09-24 05:22:15,13
253,95,446,2018-09-01 03:48:54,7
254,95,652,2018-09-10 11:59:03,8
255,95,537,2018-08-29 09:26:42,15
262,95,690,2018-08-15 13:47:06,6
263,97,632,2018-09-19 02:59:49,6
264,97,481,2018-09-27 20:14:39,7
265,99,314,2018-09-29 20:07:05,10
270,99,754,2018-09-29 20:09:08,9
271,99,402,2018-09-29 03:34:42,15
